date,wind,rain,snow,temp_avg,temp_max,temp_min
01/01,4.406000000000001,0.1325,0.0,46.05,53.9,38.2
01/02,5.122000000000001,0.38449999999999995,0.0,44.4,51.3,37.5
01/03,5.1450000000000005,0.5476623376623377,0.0,43.55,50.1,37.0
01/04,6.978999999999999,0.39780487804878045,0.0,41.65,51.9,31.4
01/05,5.122000000000001,0.02186666666666667,0.0,40.95,51.3,30.6
01/06,5.1,0.02046511627906977,0.0,41.1,53.9,28.3
01/07,7.023999999999999,0.0602325581395349,0.0,38.8,49.3,28.3
01/08,4.585,0.08231707317073171,0.0,40.6,49.5,31.7
01/09,5.928,0.04833333333333334,0.0,44.65,54.4,34.9
01/10,5.816,0.06905882352941177,0.0,46.150000000000006,56.2,36.1
01/11,6.198,0.21200000000000002,0.0,50.7,58.4,43.0
01/12,5.281000000000001,0.326923076923077,0.0,47.95,58.6,37.3
01/13,5.436,0.10887500000000001,0.0,46.05,54.1,38.0
01/14,3.9129999999999994,0.17875,0.0,45.55,56.0,35.1
01/15,3.8239999999999994,0.21614457831325298,0.0,44.95,54.1,35.8
01/16,4.697000000000001,0.2951764705882353,0.0,45.8,56.4,35.2
01/17,6.419,0.09329268292682925,0.14047619047619048,43.5,52.9,34.1
01/18,5.726,0.12876543209876543,0.0,41.75,52.5,31.0
01/19,4.742,0.07360000000000001,0.0,44.45,57.8,31.1
01/20,5.459999999999999,0.14177215189873416,0.0,46.35,58.2,34.5
01/21,4.854000000000001,0.11273809523809525,0.0,44.7,55.0,34.4
01/22,6.085,0.5612048192771084,0.0,42.65,51.8,33.5
01/23,7.768181818181817,0.2856043956043956,0.029411764705882353,42.875,51.5,34.25
01/24,5.532727272727273,0.3785714285714286,0.0,42.375,53.0,31.75
01/25,4.84,0.021136363636363637,0.0,43.541666666666664,55.5,31.583333333333332
01/26,5.776363636363636,0.17104166666666668,0.0,45.70833333333333,55.416666666666664,36.0
01/27,4.987,0.13872340425531915,0.0,44.45454545454545,53.54545454545455,35.36363636363637
01/28,4.989,0.0601123595505618,0.0,43.22727272727273,53.27272727272727,33.18181818181818
01/29,5.057,0.1068888888888889,0.21587301587301586,42.90909090909091,55.72727272727273,30.09090909090909
01/30,5.638,0.030652173913043475,0.0,42.440909090909095,56.7,28.181818181818183
01/31,4.452727272727273,0.22215053763440865,0.0,45.22727272727273,58.0,32.45454545454545
02/01,5.896363636363637,0.05380434782608696,0.0,46.58333333333333,56.25,36.916666666666664
02/02,7.075454545454544,0.23591397849462364,0.0,46.45454545454545,58.54545454545455,34.36363636363637
02/03,5.919090909090909,0.24308510638297878,0.0,45.13636363636363,56.63636363636363,33.63636363636363
02/04,4.554545454545455,0.20784090909090908,0.0,44.81818181818182,53.54545454545455,36.09090909090909
02/05,5.816363636363636,0.21252747252747253,0.0,47.5,56.0,39.0
02/06,3.7209090909090907,0.1991764705882353,0.0,46.48106060606061,58.416666666666664,34.54545454545455
02/07,5.632727272727272,0.2792134831460674,0.0,46.66666666666667,58.083333333333336,35.25
02/08,5.796363636363636,0.15733333333333333,0.0,46.0,57.25,34.75
02/09,5.817272727272727,0.047303370786516856,0.0,44.5,55.916666666666664,33.083333333333336
02/10,5.591818181818182,0.11056179775280899,0.04800000000000001,44.16666666666667,53.75,34.583333333333336
02/11,5.1863636363636365,0.421,0.0,47.04166666666667,56.75,37.333333333333336
02/12,7.3,0.2012790697674419,0.011111111111111112,47.04166666666667,56.333333333333336,37.75
02/13,6.424545454545453,0.23413793103448277,0.041379310344827586,44.125,54.333333333333336,33.916666666666664
02/14,5.207272727272727,0.05522727272727273,0.0,45.875,58.166666666666664,33.583333333333336
02/15,6.405454545454545,0.10208791208791208,0.0,46.958333333333336,57.833333333333336,36.083333333333336
02/16,6.262727272727273,0.21629213483146068,0.0,46.875,57.25,36.5
02/17,5.205454545454544,0.1132967032967033,0.0,47.70833333333333,59.75,35.666666666666664
02/18,4.880909090909092,0.12999999999999998,0.0,49.625,60.916666666666664,38.333333333333336
02/19,7.21909090909091,0.277,0.0,50.625,59.5,41.75
02/20,5.205454545454545,0.1909090909090909,0.0,49.41666666666667,60.25,38.583333333333336
02/21,5.206363636363637,0.27315217391304353,0.0,52.58333333333333,64.25,40.916666666666664
02/22,5.38909090909091,0.22463157894736846,0.0,54.375,63.666666666666664,45.083333333333336
02/23,5.103636363636363,0.3301123595505618,0.0,53.16666666666667,64.25,42.083333333333336
02/24,6.711818181818182,0.18822222222222224,0.010256410256410256,54.041666666666664,65.08333333333333,43.0
02/25,6.831818181818182,0.15923076923076923,0.0,51.5,61.0,42.0
02/26,5.734545454545455,0.301978021978022,0.0,47.125,58.0,36.25
02/27,5.082727272727271,0.03662921348314607,0.0,49.41666666666667,61.0,37.833333333333336
02/28,5.814000000000001,0.04732558139534884,0.0,52.90909090909091,64.81818181818181,41.0
02/29,7.083333333333333,0.08499999999999999,0.0,56.166666666666664,66.33333333333333,46.0
03/01,6.50909090909091,0.21633333333333335,0.0,56.083333333333336,66.41666666666667,45.75
03/02,6.426363636363636,0.1321978021978022,0.0,51.41666666666667,60.583333333333336,42.25
03/03,6.669090909090909,0.3875789473684211,0.0,49.91666666666667,60.333333333333336,39.5
03/04,5.816363636363636,0.2416091954022988,0.0,49.29166666666667,59.75,38.833333333333336
03/05,6.527272727272728,0.19795698924731178,0.0,48.08333333333333,59.5,36.666666666666664
03/06,7.889090909090908,0.16818181818181818,0.0,46.79166666666667,56.333333333333336,37.25
03/07,5.329090909090909,0.11095238095238096,0.0,49.13636363636364,61.36363636363637,36.90909090909091
